Id,Median household income in the past 12 months (in 2016 Inflation-adjusted dollars),Median household income in the past 12 months (in 2015 Inflation-adjusted dollars),Median household income in the past 12 months (in 2014 Inflation-adjusted dollars),Median contract rent 2016,Median gross rent 2015,Median gross rent,with other types of income,with public assistance income,total
1500000US220710001001,73220,71023,70625,828,897,857,22,12,435
1500000US220710001002,50625,45541,45195,806,891,864,31,29,571
1500000US220710001003,49861,56429,50417,829,1106,1072,20,0,322
1500000US220710002001,28333,23897,26196,611,733,713,7,0,236
1500000US220710002002,35795,36771,22321,714,945,920,0,0,310
1500000US220710003001,25938,26683,28500,479,624,665,17,4,256
1500000US220710003002,21875,20337,21719,693,913,958,13,13,237
1500000US220710004001,35742,36411,31938,818,986,978,112,11,483
1500000US220710004002,21304,21951,25893,540,743,750,66,5,421
1500000US220710006011,12045,9773,9333,0,284,258,11,13,146
1500000US220710006012,15625,14044,18929,492,921,661,43,14,168
1500000US220710006021,31466,30489,27697,633,940,971,24,19,337
1500000US220710006022,35625,32543,32644,631,923,936,55,16,239
1500000US220710006023,30809,31065,30865,640,808,845,20,21,382
1500000US220710006031,19500,18208,19850,640,1069,926,5,0,197
1500000US220710006032,11948,11417,17344,771,972,961,33,11,257
1500000US220710006041,0,24875,31563,0,942,1040,114,20,453
1500000US220710006042,33654,27385,39167,811,771,816,31,13,738
1500000US220710006043,36563,26222,27105,784,969,945,22,5,324
1500000US220710006051,31591,30700,29265,633,802,696,20,0,378
1500000US220710006052,26667,26125,29167,1051,1272,1280,18,10,174
1500000US220710006053,42727,43125,45962,1519,1539,1491,37,4,230
1500000US220710006061,70164,68788,68409,774,1073,1027,46,20,538
1500000US220710006062,53264,49444,50083,1095,1438,1398,19,0,567
1500000US220710006063,75729,72386,75117,0,-,-,51,32,531
1500000US220710006071,52135,64375,63523,0,-,-,36,0,307
1500000US220710006072,84000,75000,78971,1594,1681,1652,98,0,536
1500000US220710006073,61000,62407,58261,872,1310,1288,108,0,706
1500000US220710006111,27610,36573,40917,615,592,583,41,10,536
1500000US220710006112,40298,37679,37659,687,920,962,89,38,974
1500000US220710006121,161429,161250,142000,0,625,625,54,0,538
1500000US220710006131,63917,63556,43459,828,1021,1040,48,0,289
1500000US220710006132,25000,17485,29012,627,736,807,98,14,520
1500000US220710006133,11115,12601,12455,560,646,633,176,31,1243
1500000US220710006151,48750,47500,38705,748,782,777,105,18,621
1500000US220710006152,31610,31542,31891,685,755,755,123,0,1065
1500000US220710006161,45882,48075,46458,1101,1324,1319,38,0,348
1500000US220710006162,45179,45700,34232,752,816,846,65,0,491
1500000US220710006163,61399,61250,84891,0,-,-,79,0,636
1500000US220710006171,30616,31200,31850,689,823,820,116,0,750
1500000US220710006172,31228,32961,30861,835,908,893,47,0,1180
1500000US220710006181,147031,139286,143542,0,-,-,43,0,543
1500000US220710006182,55652,58194,68929,801,807,706,47,21,750
1500000US220710007011,44583,58194,14773,0,382,380,0,0,28
1500000US220710007012,14063,21250,13438,0,-,-,3,0,45
1500000US220710007013,21250,20982,19318,750,-,-,2,0,74
1500000US220710007014,28750,21705,20250,825,972,907,11,8,75
1500000US220710007021,18125,16202,17986,658,868,833,9,17,131
1500000US220710007022,24183,23934,25398,481,845,1190,2,0,252
1500000US220710007023,0,12500,10000,0,779,789,5,10,52
1500000US220710007024,50781,50500,43304,780,779,988,0,26,176
1500000US220710008001,50000,38125,44792,0,821,818,0,14,149
1500000US220710008002,24375,21116,19531,702,882,869,0,47,165
1500000US220710008003,23636,18750,22321,750,950,1117,20,22,179
1500000US220710009011,23750,19423,27708,0,-,-,0,0,59
1500000US220710009012,0,19423,24911,1042,-,-,0,0,81
1500000US220710009013,0,19423,31818,430,575,927,0,0,38
1500000US220710009014,16875,17917,18846,557,918,1038,0,0,124
1500000US220710009021,50000,58125,107813,0,-,-,0,0,14
1500000US220710009022,0,38214,50688,0,-,-,0,0,35
1500000US220710009023,0,35313,47644,0,-,-,3,0,67
1500000US220710009024,0,52500,42417,0,-,-,7,0,29
1500000US220710009031,26125,27222,28594,538,690,692,4,0,55
1500000US220710009032,37212,32596,27333,638,731,731,15,1,88
1500000US220710009033,23333,23295,12292,0,-,-,0,0,22
1500000US220710009034,15057,13889,12639,0,-,-,0,0,41
1500000US220710009041,19453,19745,21927,394,609,536,4,8,193
1500000US220710009042,16731,16500,12188,663,818,950,10,13,161
1500000US220710011001,29231,26903,26071,689,890,794,0,0,274
1500000US220710011002,41772,40701,43153,819,890,924,33,31,639
1500000US220710011003,0,-,-,0,-,-,0,0,0
1500000US220710012001,48500,37250,47770,1094,1235,1008,37,0,322
1500000US220710012002,43281,38125,38906,880,988,1013,31,9,223
1500000US220710012003,54792,56458,53370,869,1052,1030,13,0,342
1500000US220710013011,13194,11771,10250,363,1052,822,8,42,307
1500000US220710013012,44444,44943,43309,888,1111,1059,5,0,165
1500000US220710013013,30500,28571,26500,543,784,882,24,0,160
1500000US220710013014,19900,18782,17660,618,783,560,13,35,149
1500000US220710013021,20690,20789,20956,638,934,942,19,7,193
1500000US220710013022,11701,11639,11500,675,825,882,42,69,246
1500000US220710014011,14063,13826,15875,613,709,698,17,0,113
1500000US220710014012,18068,30938,23750,772,763,-,4,4,74
1500000US220710014013,16875,29375,32750,0,1052,1069,9,7,145
1500000US220710014014,17368,16902,16406,603,731,1036,12,22,99
1500000US220710014015,19250,16902,18750,0,-,-,0,0,44
1500000US220710014016,0,16902,16250,0,-,-,5,0,53
1500000US220710014021,20759,20455,30625,838,1012,-,14,6,240
1500000US220710014022,18333,16167,16042,0,-,925,0,5,118
1500000US220710014023,36705,35588,28125,625,817,803,4,0,136
1500000US220710014024,29508,26632,17375,648,898,835,26,45,265
1500000US220710015001,9898,15000,19464,575,795,871,2,15,219
1500000US220710015002,27941,32986,28958,714,938,858,5,17,141
1500000US220710016001,0,-,-,0,-,-,0,0,0
1500000US220710017011,34861,31250,27386,1099,1448,1422,47,6,229
1500000US220710017012,46667,45750,45375,917,1500,1514,32,0,155
1500000US220710017013,32589,37981,35000,821,1000,1156,18,0,180
1500000US220710017021,40217,41310,42150,590,1205,1406,27,0,313
1500000US220710017022,35610,36284,36579,640,1022,805,17,0,306
1500000US220710017023,37614,43750,30417,950,1313,1442,0,0,154
1500000US220710017024,45833,42813,36667,724,852,795,37,0,150
1500000US220710017201,34605,36250,36111,1076,1324,1333,34,6,192
1500000US220710017202,13319,32656,34940,544,672,1012,17,0,235
1500000US220710017203,17500,15500,23194,678,1106,1077,38,18,445
1500000US220710017204,14766,15682,25368,543,896,843,41,0,321
1500000US220710017221,17083,15682,22446,0,1026,990,66,12,167
1500000US220710017222,0,36250,48750,570,784,1125,86,0,253
1500000US220710017223,22569,27024,23988,759,926,948,41,0,431
1500000US220710017224,22778,42969,34118,636,1076,-,14,0,172
1500000US220710017225,16290,18438,19219,250,575,663,76,7,349
1500000US220710017226,25100,25074,25250,721,1067,-,13,0,123
1500000US220710017227,0,26632,26393,0,-,-,11,0,121
1500000US220710017231,36705,31324,31765,801,-,-,17,0,272
1500000US220710017232,30033,31250,30424,187,261,288,46,19,738
1500000US220710017233,34938,28878,28071,968,960,960,32,6,331
1500000US220710017234,26316,23802,21983,632,948,975,76,0,508
1500000US220710017241,31994,32102,30862,0,1069,1055,46,27,268
1500000US220710017242,34516,42232,47500,223,1016,591,38,0,356
1500000US220710017243,19470,19333,19919,718,884,896,50,7,612
1500000US220710017244,15476,14688,15500,843,910,1008,133,13,426
1500000US220710017251,19874,20405,20421,628,712,766,105,0,765
1500000US220710017252,31842,37708,38125,553,719,835,69,16,559
1500000US220710017253,30192,31484,31990,906,1081,1055,50,0,521
1500000US220710017254,0,39038,50284,0,740,730,39,16,569
1500000US220710017301,52143,39464,44583,1079,1289,1541,49,0,287
1500000US220710017341,61250,61458,60859,0,-,-,25,0,333
1500000US220710017351,22337,22933,26429,659,848,907,64,26,454
1500000US220710017352,36000,30250,24167,781,1031,1011,25,31,350
1500000US220710017361,16858,15101,15337,638,693,867,39,11,241
1500000US220710017362,29883,32063,33750,710,930,928,96,6,559
1500000US220710017371,20729,18897,20473,675,830,828,67,17,724
1500000US220710017372,41905,41979,48250,930,1155,1262,18,0,322
1500000US220710017373,36339,36058,36477,1347,-,1703,39,13,249
1500000US220710017391,38015,26167,39773,721,874,921,46,0,408
1500000US220710017392,50417,39352,50917,0,-,-,31,0,165
1500000US220710017401,46845,45750,44559,0,-,-,59,10,442
1500000US220710017402,21300,23958,30028,688,789,839,64,0,695
1500000US220710017403,30523,33872,35545,642,770,762,69,45,656
1500000US220710017411,43636,41776,40500,863,1202,1258,77,3,480
1500000US220710017431,24861,23750,19322,684,849,875,45,14,625
1500000US220710017432,21173,21083,21286,720,849,858,19,0,314
1500000US220710017441,0,21083,33385,661,750,789,11,11,489
1500000US220710017442,18785,13393,16058,855,1027,1107,49,72,493
1500000US220710017443,22852,23594,25110,814,959,907,28,15,427
1500000US220710017451,22188,21537,20972,708,874,894,42,39,930
1500000US220710017452,30417,28807,28750,886,1277,1321,57,17,409
1500000US220710017461,37174,36578,39286,779,929,903,34,9,482
1500000US220710017462,28598,24236,27850,577,683,929,21,0,578
1500000US220710017463,23021,35476,35797,748,1056,1095,59,41,563
1500000US220710017471,74677,74167,78990,0,-,-,106,0,847
1500000US220710017472,71848,88854,68646,0,-,-,35,0,425
1500000US220710017481,42500,37750,60703,0,-,-,7,0,374
1500000US220710017482,0,37750,29485,923,1203,1246,38,0,409
1500000US220710017483,43600,41250,38015,0,697,666,86,24,445
1500000US220710017484,60664,61875,61958,0,-,-,52,0,273
1500000US220710017491,42070,42716,41563,526,1250,636,59,5,369
1500000US220710017492,27398,27468,26844,532,693,743,47,3,471
1500000US220710017501,42171,38269,38750,0,905,922,3,0,397
1500000US220710017502,24125,25549,25189,458,603,658,69,0,322
1500000US220710017503,28917,22454,15767,616,686,715,11,18,434
1500000US220710017511,14722,16842,17059,618,702,716,6,21,268
1500000US220710018001,53958,51650,51023,1066,1147,1185,22,3,418
1500000US220710018002,56667,58542,62500,897,1144,994,11,0,282
1500000US220710019001,32143,30625,26023,714,809,815,0,0,138
1500000US220710019002,21917,21111,19750,529,588,596,21,19,261
1500000US220710019003,29375,26146,26339,632,778,787,0,0,245
1500000US220710020001,25521,26146,10568,831,1028,1057,3,32,212
1500000US220710020002,23920,20694,18323,783,908,814,28,14,197
1500000US220710020003,25714,22250,32292,708,861,891,5,10,107
1500000US220710021001,22452,19844,18587,625,844,897,2,15,158
1500000US220710021002,17583,15313,17039,500,666,706,18,36,209
1500000US220710022001,18512,18750,22708,339,635,718,7,1,125
1500000US220710022002,25486,22308,33875,571,770,832,44,15,181
1500000US220710022003,0,22308,15833,769,988,1084,6,11,96
1500000US220710023001,13229,22308,52708,623,-,-,0,0,59
1500000US220710023002,15625,12917,9148,673,853,538,0,14,114
1500000US220710023003,0,29356,30278,604,680,-,0,0,68
1500000US220710023004,25083,24013,24931,730,869,835,7,0,101
1500000US220710023005,29375,23608,23828,715,882,877,35,0,475
1500000US220710024011,38250,40343,41202,837,1115,1119,36,5,414
1500000US220710024012,28938,31250,50750,735,896,856,43,6,355
1500000US220710024021,0,48669,31800,646,900,941,9,0,168
1500000US220710024022,25294,26607,24511,645,709,695,44,0,355
1500000US220710024023,26875,28750,34022,785,987,987,26,0,276
1500000US220710024024,28523,24844,29205,734,1011,1193,18,0,419
1500000US220710025011,28750,26058,38421,773,868,915,20,6,278
1500000US220710025012,40682,40875,40521,1165,1262,1278,14,1,161
1500000US220710025013,60000,61250,62125,1049,1309,1038,17,0,105
1500000US220710025014,50156,47667,49559,810,1022,1010,17,0,130
1500000US220710025021,28864,29219,40114,818,1128,1116,57,17,320
1500000US220710025022,32500,26389,26875,623,751,646,0,0,179
1500000US220710025023,26125,26625,26111,825,989,999,10,0,142
1500000US220710025024,57143,26625,36953,0,-,-,13,0,171
1500000US220710025031,69107,61250,53393,1047,1352,1377,12,5,150
1500000US220710025032,48625,45625,51979,791,1033,1087,45,0,377
1500000US220710025033,46000,51964,57599,842,968,1277,13,0,281
1500000US220710025041,46000,46000,45733,863,1125,1139,41,29,191
1500000US220710025042,44779,43125,51250,738,1125,1188,29,0,328
1500000US220710025043,63571,61591,63036,0,975,-,18,0,181
1500000US220710025044,60052,35000,27950,945,1084,1111,32,0,229
1500000US220710026001,55089,54531,62258,829,919,913,41,8,450
1500000US220710026002,17206,54531,22500,402,919,343,68,0,528
1500000US220710027001,21042,20000,18264,727,745,926,5,0,205
1500000US220710027002,30481,35625,47829,829,945,1071,16,4,261
1500000US220710027003,12561,13344,20912,719,869,842,0,11,149
1500000US220710028001,22212,23487,24423,605,731,869,0,0,170
1500000US220710028002,16354,16071,17330,587,807,793,31,5,269
1500000US220710028003,25484,25625,27632,681,927,932,15,6,202
1500000US220710029001,18977,19792,23542,854,1000,912,35,6,209
1500000US220710029002,0,19792,12552,608,703,635,7,0,147
1500000US220710029003,21351,25991,25172,533,639,637,18,0,208
1500000US220710030001,15750,14191,14148,751,988,978,10,6,213
1500000US220710030002,16250,14875,14942,735,869,922,13,5,268
1500000US220710031001,16555,16781,15346,669,715,529,12,0,147
1500000US220710031002,17131,17442,19188,750,838,920,12,10,303
1500000US220710033011,60956,51071,58913,876,1047,1060,54,5,300
1500000US220710033012,70750,53333,48000,996,1161,1112,0,14,252
1500000US220710033013,80833,79474,78839,2089,2217,"2,000+",4,0,129
1500000US220710033021,56797,56458,56513,0,-,-,33,0,231
1500000US220710033022,44875,44318,46154,1060,1299,1689,6,26,398
1500000US220710033023,61250,61458,54957,727,912,743,48,0,371
1500000US220710033024,82782,74318,62222,0,-,1290,0,0,214
1500000US220710033031,38750,74318,33500,871,1080,1109,33,23,356
1500000US220710033032,35444,22014,20078,910,978,902,21,15,307
1500000US220710033033,40208,37824,38198,869,1033,1087,25,4,176
1500000US220710033041,37778,38688,37375,862,1084,1058,8,23,392
1500000US220710033042,31801,30186,18194,668,750,671,32,5,373
1500000US220710033071,40750,39464,45556,954,1182,1168,20,5,334
1500000US220710033072,21856,24741,24299,592,643,665,13,0,231
1500000US220710033081,46875,48800,37411,0,-,-,0,0,131
1500000US220710033082,24750,25238,21146,699,780,780,23,10,269
1500000US220710033083,16806,18277,18704,340,327,382,58,0,500
1500000US220710033084,26591,26131,25859,717,808,-,22,0,215
1500000US220710033085,32393,29417,37788,727,1019,1072,9,0,199
1500000US220710033086,83611,29417,112552,0,-,-,0,0,47
1500000US220710034001,28125,23750,27381,731,864,821,43,0,276
1500000US220710034002,23854,21544,20221,685,719,747,10,20,408
1500000US220710035001,12167,21250,21114,623,877,874,0,0,237
1500000US220710035002,11655,15481,17305,311,641,670,15,11,165
1500000US220710035003,36389,35167,35938,924,936,862,4,0,218
1500000US220710036001,31563,30000,30167,818,900,846,40,0,210
1500000US220710036002,22813,23750,21976,631,851,876,16,0,395
1500000US220710036003,29688,29896,30417,655,923,915,13,18,208
1500000US220710037011,36902,37539,45952,1131,1148,1163,63,0,782
1500000US220710037012,45234,40625,34167,956,1058,1075,15,0,248
1500000US220710037021,41952,29464,27600,609,768,706,0,0,320
1500000US220710037022,31429,18965,18718,825,1055,1041,13,0,293
1500000US220710037023,0,18965,16563,831,833,888,0,4,179
